,title,price,description,feature,brand,price_sgd,screen_size_inches,resolution,smart_tv,weight_kg,height_cm,width_cm,depth_cm,refresh_rate_hz,hdmi_ports,usb_ports,operating_system,energy_efficiency_class,sound_output_w
10,Xiaomi Mi,S$575.00,"Screen size; 55 Inches; Brand; Xiaomi; Supported Internet services; Netflix; Display technology; LED; Product dimensions; 15D x 135W x 83.7H centimetres; Resolution; 4K; Refresh rate; 60 Hz; Special features; Flat; Model name; P1; Included components; 1 x TV, 1 x 360 degree bluetooth remote control, 1 x Screws bag, 2 x Stand components, 1 x Power cable, 1 x User manual, 1 x Warranty card; See more","About this item; Smart life, limitless vision; Google assistant built-in; Bluetooth remote with voice control; Bezel-less design for a unique viewing experience; HD display for added comfort",Others,575.0,55.0,4K,Yes,,83.7,135.0,15.0,60.0,,,Android TV,Not specified,
11,Impecca 24-Inch LED HD,S$233.56,"Screen size; 24 Inches; Brand; Impecca; Supported Internet services; Browser; Display technology; LED; Resolution; 720p; Refresh rate; 60 Hz; Special features; Flat; Included components; Stand, TV, Remote Control, Batteries; Connectivity technology; VGA, USB, HDMI; Colour; Black","About this item; AUDIO & VIDEO SPECS: 2 Built-in speaker 6W each, 4 Mode Equalizers, Effects YES, TV system ATSC, Progressive Scan YES, HD Ready YES, YPrPb resolution, 480i/p 576i/p 720i/p, PC Resolution UP to 1366.768 60HZ.; CONNECTIVITY: 1 x Av Input +Ypbpr, 1 x Earphone jack/ Audio out, 1 x Usb input, 1 x Vga (D-Sub 15Pin), 1 x Pc Audio Input, 1 x Optical input, 1 x HDMI input. Wall Mountable/VESA M4 100x100. POWER: Power consumption(Operation) -≤36W, Power consumption(Standby) -≤0.5W, Power Requirement -100-240v 50/60Hz; SPECIFICATIONS: 720p HD 60Hz Picture quality, 1366x768 Crisp Resolution with deep blacks and rich colors, Aspect ratio 16:9, Brightness 180 cd/m2, Contrast 3000:1, Viewing angle 178° x 178°, Maximum colors 16.7M, Response time 8.5ms, Built-in ATSC Tuner, Built-in 2 6-Watts stereo Speakers, Full-function Remote Control included, VESA compatible M4 100 x 100; IN THE BOX: Television, Remote Control, User’s Manual, power cable, Certifications: Energy Star, CE, FCC, RoHS, ETL listed in the US and Canada. Dolby Digital, Cord length; 60-in.. Weight; 7.10 lbs, Assembled dimensions 21.69-in. x 12.93-in. x 2.77-in.H, Box dimensions; 27.36-in. x 4.85-in. x 15.55-in.. Remote control batteries; 2x AAA included.; Wireless communication technology : Wi-Fi; Wattage : 36.0 watts",Others,233.56,24.0,720p,No,3.22,6.93,55.11,7.04,60.0,1.0,1.0,Not specified,Not specified,12.0
12,Samsung QA65Q60BAKXXS QLED 4K Smart,"S$1,449.00","Screen size; 65 Inches; Brand; Samsung-3P; Supported Internet services; Netflix, Amazon Instant Video, YouTube; Display technology; LED; Resolution; 4K; Refresh rate; 60; Special features; Flat; Model name; Samsung; Included components; 1 x QLED 4K Smart TV, 1 x Slim Fit Wall-mount Support, 1 x Full Motion Slim Wall Mount (Y22), 1 x Webcam Support; See more; Connectivity technology; HDMI",About this item; See the content you love in a new light with incredible picture detail; Experience stunning 4K picture with over a billion breath-taking colours; Dual LED TV balances colour for bolder contrast and a more lifelike picture; A stunningly slim and sleek TV; Complete your audio experience with virtual 3D surround sound,Samsung,1449.0,65.0,4K,Yes,,,,,60.0,,,Not specified,Not specified,
13,Samsung QLED 4K Q63B Smart,"S$1,499.00","Brand; Samsung-3P; Supported Internet services; Netflix, Amazon Prime Video, YouTube; Display technology; QLED; Resolution; 4K; Special features; Flat; Model name; Q63B; Included components; Stand, TV; Mounting type; Table Mount; Model year; 2022","About this item; Brilliant, long lasting colour with Quantum Dot; 100% Colour Volume with Quantum Dot; Wider range of contrast in cinematic scale; Sleek and slim, more than ever; Smart Hub - Discover your favourite contents in one place; Quantum Processor Lite 4K; Optimised backlight colour tone for enhanced contrast; Smooth motion for a clear picture; Super Ultrawide GameView & Game Bar; Object Tracking Sound Lite (OTS Lite); Show More",Samsung,1499.0,,4K,Yes,,,,,,,,Not specified,Not specified,
14,Sony Bravia 4K Ultra HD Smart LED Google,S$975.00,"Screen size; 55 Inches; Brand; Sony; Supported Internet services; Google TV; Display technology; LED; Product dimensions; 23D x 145W x 113H centimetres; Resolution; 4K; Refresh rate; 60; Special features; Flat; Model name; Bravia2022; Included components; Stand, TV","About this item; Resolution: 4K Ultra HD (38402160) Refresh Rate: 60 Hertz 178 Degree wide viewing angle; Connectivity: 3 HDMI ports to connect set top box, Blu Ray players, gaming console 2 USB ports to connect hard drives and other USB devices; Sound : 20 Watts Output Open Baffle Speaker Dolby Audio Clear Phase; Smart TV Features: Google TV Watchlist Voice Search Google Play Chromecast Netflix Prime Video Additional Features: Apple Airplay Apple Homekit Alexa; Display: X1 4K Processor 4K HDR Live Colour 4K X Reality Pro Motion Flow XR200; Warranty Information: 1 year provided by the manufacture from the date of purchase; Installation: Brand will contact for installation for this product once delivered. Contact Sony for assistance (Please visit brand website for toll free numbers) and provide product's model name and seller's details mentioned on your invoice. The service center will allot you a convenient slot for the service; Easy returns: This product is eligible for replacement within 10 days of delivery in case of any product defects, damage or features not matching the description provided; Wireless Communication Technology: Wi-Fi; Voltage: 240.0 volts; Wattage: 142.0 watts; Show More",Sony,975.0,55.0,4K,Yes,,113.0,145.0,23.0,60.0,3.0,2.0,Google TV,Not specified,20.0
15,Philips 43PUT7466/98 4K UHD HDR10+ LED Android,S$508.90,"Screen size; 43 Inches; Brand; Philips; Supported Internet services; Pre-installed apps: Amazon Prime Video, Netflix*, YouTube; Display technology; LED; Product dimensions; 14D x 107W x 65H centimetres; Resolution; 4K; Refresh rate; 60; Special features; Dolby Vision + Dolby Atmos, Android TV, Google Assistant; Model name; 4K UHD; Included components; Ncluded accessories: Remote Control, 2 x AAA Batteries, Power cord, Quick start guide, Legal and safety brochure, Table top stand; See more",About this item; Major HDR formats supported; Dolby Atmos sound; Slim and attractive design; With Google Assistant - control the TV with your voice; Simply smart android TV,Philips,508.9,43.0,4K,Android TV,,65.0,107.0,14.0,60.0,,,Android TV,Not specified,
16,Sony Bravia X80K 164 cm (65 inches) 4K Ultra HD Smart LED Google,"S$1,275.00","Screen size; 65 Inches; Brand; Sony; Supported Internet services; Google TV; Product dimensions; 20D x 170W x 110H centimetres; Resolution; 4K; Special features; Flat; Included components; Stand, TV; Mounting type; Table Mount; Item weight; 21.7 Kilograms; Model year; 2022",About this item; Sony Bravia X80K 164 cm (65 inches) 4K Ultra HD Smart LED Google TV KD-65X80K (Black); Sony,Sony,1275.0,65.0,4K,Yes,21.7,110.0,170.0,20.0,,,,Android TV,Not specified,
17,LG OLED55B3PSA - 55 inches OLED UHD 4K SMART,"S$2,699.00","Screen size; 55 Inches; Brand; LG; Supported Internet services; Netflix, Amazon Instant Video, YouTube; Display technology; 4K OLED; Product dimensions; 4.7D x 122.8W x 70.8H centimetres; Resolution; 4K; Refresh rate; 120; Special features; Flat; Model name; OLED55B3; Included components; Magic Remote, Remote Control Batteries, Power Cable","About this item; A smarter viewing experience with the α7 AI Processor 4K Gen6; Incredibly defined visuals with Infinite Contrast; Smart Functionality, including ThinQ AI and WebOS; An immersive cinema experience with Dolby Atmos and Vision; Ultimate gameplay with VRR, G-sync, and Freesync",LG,2699.0,55.0,4K,Yes,,70.8,122.8,4.7,120.0,,,webOS,Not specified,
18,Philips 55PUT7466/98 4K UHD HDR10+ LED Android,S$708.90,"Screen size; 55 Inches; Brand; Philips; Supported Internet services; Netflix; Display technology; LED; Product dimensions; 16D x 122.7W x 84H centimetres; Resolution; 4K; Refresh rate; 60; Special features; Flat; Model name; 4K UHD; Included components; 1 x TV, 1 x Remote Control, 2 x AAA Batteries, 1 x Power cord, 1 x Quick start guide, 1 x Legal and safety brochure, 1 x Table top stand; See more",About this item; Major HDR formats supported; Dolby Atmos sound; Slim and attractive design; With Google Assistant - control the TV with your voice; Simply smart android TV,Philips,708.9,55.0,4K,Android TV,,84.0,122.7,16.0,60.0,,,Android TV,Not specified,
19,Sony 4K Ultra HD,"S$3,099.00","Screen size; 75 Inches; Brand; Sony; Supported Internet services; Google TV, BRAVIA; Display technology; LED; Product dimensions; 23D x 140W x 110H centimetres; Resolution; 4K; Special features; Flat; Model name; BRAVIA XR; Included components; Stand, TV; Aspect ratio; 16:9",About this item; Sony 4K Ultra HD TV X90K Series: BRAVIA XR Full Array LED Smart Google TV with Dolby Vision HDR and Exclusive Features for The Playstation 5 2022 Model (75inch); Sony,Sony,3099.0,75.0,4K,Yes,,110.0,140.0,23.0,,,,Not specified,Not specified,
20,Sony X80J,S$899.00,"Screen size; 50 Inches; Brand; Sony; Supported Internet services; Google TV; Display technology; LED; Resolution; 4K; Special features; Flat; Model name; X80J; Included components; Stand, TV; Mounting type; Table Mount; Model year; 2021",About this item; Sony X80J TV: 4K Ultra HD LED Smart Google TV with Dolby Vision HDR and Alexa Compatibility 2021 Model (50inch); Sony,Sony,899.0,50.0,4K,Yes,,,,,,,,Google TV,Not specified,
21,Chromecast with Google,S$70.01,"Brand; Google; Connectivity technology; Wireless, Bluetooth; Connector type; HDMI; Special features; Chromecast; Resolution; 1080p, 4k; Supported Internet services; Google TV; Controller type; Remote Control; Form factor; TV Stick; Colour; Snow; Model name; chromecast","About this item; Watch the entertainment you love, including live TV, in up to 1080p HDR[1,2,3]; discover over 700,000 movies and TV episodes, plus millions of songs[2]; Get fast streaming, and enjoy a crystal clear picture and brighter colors with HDR[3]; Your home screen displays movies and TV shows from all your services in one place; get personal recommendations based on your subscriptions, viewing habits, and content you own; Press the Google Assistant[4] button on the remote and use voice search to find specific shows, or search by mood, genre, actress, and more; control the volume, switch inputs, play music, and get answers on-screen; Chromecast is easy to install and compatible with almost any TV that has an HDMI port; to get started, just plug it into your TV’s HDMI port, connect to Wi-Fi, and start streaming[1].Manage connected devices from the couch; ask Google to dim the lights, adjust the temperature, or see who’s at the front door, without getting up[5,6].",Others,70.01,,1080p,Yes,,,,,,1.0,,Others,Not specified,
22,SAMSUNG QA55Q60AAKXXS Q60A QLED 4K Smart,"S$1,049.00","Screen size; 55 Inches; Brand; Samsung-3P; Supported Internet services; Netflix, Amazon Instant Video, YouTube; Display technology; QLED; Product dimensions; 24.9D x 123.2W x 77.4H centimetres; Resolution; 4K; Refresh rate; 240; Special features; QLED TV; Model name; Samsung; Included components; 1 x Television",About this item; 100% Colour volume with quantum dot; Quantum processor lite 4K; Dual LED for bolder and better contrast; Optimised backlight colour tone for enhanced contrast; Virtual sound that tracks the action,Samsung,1049.0,55.0,4K,Yes,,77.4,123.2,24.9,240.0,,,Not specified,Not specified,
23,"PRISM+ Q55-QE | 55"" 4K Android",S$799.00,"Screen size; 55 Inches; Brand; Prism+; Supported Internet services; Netflix; Product dimensions; 26.3D x 122.5W x 77.8H centimetres; Resolution; 4K; Special features; Flat; Included components; Stand, TV; Connectivity technology; Bluetooth; Mounting type; Table Mount; Model year; 2020","About this item; First Singaporean Android TV Brand; 55"" 4K Ultra HD Android TV; Google Playstore - over 5,000 apps like Netflix, Youtube, Prime Video, Spotify, Twitch, Plex, and more; Inbuilt Chromecast for you to cast content from your phone, tablet and laptop onto the TV -  supports major apps like Netflix, meWATCH, Youtube, Google Chrome and more; Google Assistant - Control your Android TV using voice commands; 4K UHD Resolution, IPS Panel, 1.07 Billion Colors, ZeroBezel Form Factor, HDR10, Dolby Audio Surround Sound, DTS TruSurround, Digital Ready TV, Bluetooth 5.0",Others,799.0,55.0,4K,Yes,,77.8,122.5,26.3,,,,Android TV,Not specified,
24,Samsung Smart,S$810.00,"Screen size; 60 Inches; Brand; Samsung-3P; Supported Internet services; Netflix, Hulu, Amazon Instant Video, Browser; Display technology; LED; Product dimensions; 28.5D x 135.1W x 85.1H centimetres; Resolution; 4K; Special features; Flat; Included components; Stand, TV; Connectivity technology; Bluetooth, Wi-Fi; Mounting type; Table Mount","About this item; Brand New, Samsung Export Set; Experience crystal clear colors that are fine-tuned to deliver a naturally crisp and vivid picture; Unveils shades of color you can't find on HDTV; TV Dimensions: With stand – 48.4"" W x 30.6"" H x 9.8"" D | W/O stand – 48.4"" W x 27.8"" H x 2.4"" D | Weight – 30.6 lbs. | Motion rate – MR120 | Resolution – 3,840 x 2,160 | WiFi & Bluetooth enabled; Go beyond Smart TV with next-gen apps, super easy control, and a host of enhancements that elevate the TV watching experience",Samsung,810.0,60.0,4K,Yes,13.88,85.1,135.1,28.5,,,,Not specified,Not specified,
25,"PRISM+ 55AL | 55"" OLED 4K Android","S$1,699.00","Screen size; 55 Inches; Brand; Prism+; Supported Internet services; Netflix, Google TV, Amazon Instant Video, YouTube; Display technology; OLED; Product dimensions; 29.4D x 122.7W x 77.5H centimetres; Resolution; 4K; Special features; Flat; Model name; PRISM; Included components; Stand, TV; Connectivity technology; Bluetooth","About this item; First Singaporean Android TV Brand; 55"" 4K Ultra HD OLED Android TV, Self Lit PIxels, Accuratee Colors, Definitive Contrast; Real Motion MEMC; Google Playstore - over 5,000 apps like Netflix, Youtube, Prime Video, Spotify, Twitch, Plex, and more; Far Field Voice Control - Control your Android TV using Google Assistant voice commands; 4K UHD Resolution, OLED Panel, 1.07 Billion Colors, ZeroBezel Form Factor, Dolby Vision, Dolby Audio Surround Sound, Digital Ready TV, Bluetooth 5.0",Others,1699.0,55.0,4K,Yes,,77.5,122.7,29.4,,,,Android TV,Not specified,
26,PRISM+ Q55 2023 Quantum Edition | 4K Google,S$879.00,"Screen size; 55 Inches; Brand; Prism+; Supported Internet services; Netflix; Product dimensions; 26D x 123W x 78H centimetres; Resolution; 4K; Special features; Flat; Included components; Stand, TV; Mounting type; Table Mount; Audio output mode; Surround","About this item; First Singaporean Google TV Brand; 55"" 4K Ultra HD Google TV; Google Playstore - over 5,000 apps like Netflix, Youtube, Prime Video, Spotify, Twitch, Plex, and more; Inbuilt Chromecast for you to cast content from your phone, tablet and laptop onto the TV. Supports major apps like Netflix, meWATCH, Youtube; Google Assistant - Control your Google TV using voice commands; 4K UHD Resolution, IPS Panel, 1.07 Billion Colors, ZeroBezel Form Factor, HDR10, Dolby Audio Surround Sound, DTS TruSurround, Digital Ready",Others,879.0,55.0,4K,Yes,,78.0,123.0,26.0,,,,Android TV,Not specified,
27,Philips 50PUT7466/98 4K UHD HDR10+ LED Android,S$588.90,"Screen size; 50 Inches; Brand; Philips; Supported Internet services; Pre-installed apps: Amazon Prime Video, Netflix*, YouTube; Display technology; LED; Product dimensions; 15D x 124W x 78.5H centimetres; Resolution; 4K; Refresh rate; 60; Special features; •SmartTV apps*: Online video stores, Youtube, Netflix TV •Firmware upgradeable: Firmware auto upgrade wizard, Firmware upgradeable via USB, Online firmware upgrade, App upgrade in background •Screen Format Adjustments: Advance - Shift, Basic - Fill Screen, Fit to screen, Zoom, stretch, Wide screen •Ease of Use: One-stop smart menu button, Onscreen usermanual •Voice assistant*: Google Assistant built-in; See more; Model name; 4K UHD; Included components; Included accessories: Remote Control, 2x AAA Batteries, Power Cord, Quick Start Guide, Legal and safety brochure, table top stand; See more",About this item; Major HDR formats supported; Dolby Atmos sound; Slim and attractive design; With Google Assistant - control the TV with your voice; Simply smart android TV,Philips,588.9,50.0,4K,Yes,,78.5,124.0,15.0,60.0,,,Android TV,Not specified,
28,Sony 4K Ultra HD,"S$1,249.00","Screen size; 55 Inches; Brand; Sony; Supported Internet services; Google TV; Product dimensions; 32D x 170W x 100H centimetres; Resolution; 4K; Refresh rate; 120; Special features; Flat; Model name; X85K Series; Included components; Stand, TV; Mounting type; Table Mount",About this item; Sony 4K Ultra HD TV X85K Series: LED Smart Google TV with Dolby Vision HDR and Native 120HZ Refresh Rate 85X85K 75X85K 65X85K 55X85K 50X85K (55inch); Sony,Sony,1249.0,55.0,4K,Google TV,,100.0,170.0,32.0,120.0,,,Not specified,Not specified,
29,PRISM+ Q32 Google,S$399.00,"Screen size; 32 Inches; Brand; Prism+; Supported Internet services; Netflix; Product dimensions; 17D x 72W x 46H centimetres; Resolution; 1080p; Special features; Chromecast; Included components; Stand, TV; Connectivity technology; Wi-Fi; Mounting type; Table Mount; Audio output mode; Surround","About this item; First Singaporean Google TV Brand; 32"" Google TV; Google Playstore - over 5,000 apps like Netflix, Youtube, Prime Video, Spotify, Twitch, Plex, and more; Inbuilt Chromecast for you to cast content from your phone, tablet and laptop onto the TV - supports major apps like Netflix, meWATCH, Youtube; Google Assistant - Control your Android TV using voice commands; IPS Panel, 16.7 Million Colors, Dolby Audio Surround Sound, DTS TruSurround, Digital Ready TV, Bluetooth 5.0",Others,399.0,32.0,1080p,Yes,,46.0,72.0,17.0,,,,Android TV,Not specified,
30,2022 Apple,S$183.00,Brand; Apple; Resolution; 4k; Supported Internet services; Apple TV; Controller type; Remote Control; Form factor; TV Box; Colour; Black; Model name; Apple TV; Item weight; 0.21 Kilograms; Product dimensions; 9.3L x 9.3W x 3.1H centimetres; Compatible devices; Television,"About this item; 4K Dolby Vision and HDR10+ for vivid picture quality; Dolby Atmos for three-dimensional, theater-like sound; Incredible power with the A15 Bionic chip; Siri Remote brings precise control with a touch-enabled clickpad; Apple Original shows and movies from Apple TV+",Others,183.0,,4K,Not specified,0.21,3.1,9.3,9.3,,,,Not specified,Not specified,
31,PRISM+ Q75 Ultra | 4K QLED Google,"S$1,999.00","Screen size; 75 Inches; Brand; Prism+; Supported Internet services; Netflix; Display technology; QLED; Product dimensions; 35D x 168W x 102H centimetres; Resolution; 4K; Special features; Flat; Included components; Stand, TV; Mounting type; Table Mount; Audio output mode; Surround","About this item; First Singaporean Google TV Brand; 75"" 4K Ultra HD Google TV; Advanced QLED Color technology that brings out greater brightness, contrast, and color.; Powered by Dolby Vision, Dolby Atmos, HDR10+, and Filmmaker Mode to create a cinematic experience like none other; Google Playstore - over 5,000 apps like Netflix, Youtube, Prime Video, Spotify, Twitch, Plex, and more; Inbuilt Chromecast for you to cast content from your phone, tablet and laptop onto the TV. Supports major apps like Netflix, meWATCH, Youtube; Far Field Voice Control - Control your Android TV using Google Assistant voice commands; 4K UHD Resolution, IPS Panel, 1.07 Billion Colors, ZeroBezel Form Factor, HDR10, Dolby Audio Surround Sound, DTS TruSurround, Digital Ready",Others,1999.0,75.0,4K,Google TV,,102.0,168.0,35.0,,,,Android TV,Not specified,
32,Samsung QA75Q60BAKXXS QLED 4K Smart,"S$2,499.00","Screen size; 75 Inches; Brand; Samsung-3P; Supported Internet services; Netflix, Amazon Instant Video, YouTube; Display technology; QLED; Resolution; 4K; Special features; Flat; Model name; QA75Q60BAKXXS; Included components; Stand, TV; Connectivity technology; Wi-Fi; Mounting type; Table Mount","About this item; 100% Color Volume with Quantum Dot; Quantum HDR; Sound Output (RMS): 20W; Tizen Operating System; Connectivity: HDMI x3, USB x2, Ethernet (LAN), Digital Audio Out (Optical), eARC (HDMI 2), HDMI Quick Switch; WiFi5, Bluetooth BT5.2; Set Weight with Stand: 32.7 kg; VESA Spec: 400 x 400 mm; Set Size with Stand (WxHxD):1676.7 x 1026.5 x 338.9 mm; Set Size without Stand (WxHxD): 1676.7 x 959.8 x 26.6 mm; Show More",Samsung,2499.0,75.0,4K,Yes,32.7,102.65,167.67,33.89,,3.0,2.0,Tizen,Not specified,20.0
33,"Philips 4000 Series 24"" HD LED Digital",S$228.88,"Screen size; 24 Inches; Brand; Philips; Display technology; LED; Product dimensions; 16.2D x 55W x 36.5H centimetres; Resolution; 720p; Special features; Flat; Model name; 24PHT4003; Included components; Stand, TV; Connectivity technology; HDMI; Colour; Black",About this item; 3 years Local (Singapore) Manufacturer Warranty,Philips,228.88,24.0,720p,Not specified,,36.5,55.0,16.2,,,,Not specified,Not specified,
